transaction_id,customer_id,branch_id,item_id,amount,payment_method,transaction_date,dining_option
2f78c249-89b1-4de7-a2b0-bc0b08881a3a,2f71f913-a1c6-4e17-be4e-f6924edcc8b7,97bef2c4-703a-4743-a2fa-803957a8492d,287a922c-3b2a-474a-b021-3c930d298393,192.32,Mobile Payment,2024-01-21,Delivery
cb1f3db4-0679-4195-a8c3-47be884c6550,8c089c10-0cf2-4b04-8974-ecd930c53c5d,b2cf6b84-bf63-4667-878d-1a9cced679a7,8a7b4c5b-90ce-42d4-a413-eb485554bc18,198.58,Mobile Payment,2024-06-03,Take-out
ca181adf-2b46-4004-8bbd-2469aec5d8bb,4094392f-d17d-4bea-b626-47879e4deaaf,29e9d95f-ed2f-4a11-9b7b-056660fa001c,7623b29c-fe83-427b-89d0-e04ffbb7d545,140.08,Mobile Payment,2024-02-15,Take-out
77acbb5c-f2dc-4dc3-bb4d-310973fc3a70,634e6058-f58f-4129-a7e9-5276c21d0365,363a302a-eee2-42b5-b6ff-b2e8a4205867,a2c72131-470a-41b1-8dab-4edfeb9b34c4,165.82,Credit Card,2024-02-12,Dine-in
1e770871-9303-40fa-bf04-54fec0a822ac,99d07a29-07cc-4b7e-9307-9bb31ae1e31c,045684a9-87d6-403a-bcb7-16b18d3145a6,f5c99b4e-cc3e-4d76-a0dd-b260b698fea8,153.44,Mobile Payment,2024-09-07,Dine-in
ed15c1db-7b77-4c11-b3c2-6f4a2c915725,0bd4ca12-208b-453d-9a56-6ddcf5d84af1,045684a9-87d6-403a-bcb7-16b18d3145a6,67052d4b-0e36-46fc-88b2-1b6f91725cfa,100.74,Mobile Payment,2024-04-24,Take-out
4e04aa58-151a-4bb3-8203-ee33efa42f94,fe1186ee-78f0-46e2-a54b-c8d0b0a8c45a,13ab5eda-efdd-4a7d-bc81-973072b06957,c40c1368-c6c0-4bd5-9d80-5d553657a55b,66.51,Mobile Payment,2024-04-24,Dine-in
7ab69f4e-43ad-473c-853b-1f9954acb50f,536c5b3c-2e7e-4b2f-a066-9c8b32aa8816,f7d599ba-a566-4f80-ad1b-8c22de72cbd2,8019ae12-3ec4-4cdd-959b-6ae68dc84215,188.58,Credit Card,2024-08-23,Dine-in
81c275f6-93ff-42fb-bbf1-7741f62292a5,68de0d38-f858-474c-b60a-49ea8ea4c56c,363a302a-eee2-42b5-b6ff-b2e8a4205867,c40c1368-c6c0-4bd5-9d80-5d553657a55b,26.18,Mobile Payment,2024-08-15,Delivery
06c3342b-e04a-451d-9c31-cea6b202d111,97ff5225-c5ae-4b6b-aef0-2e0ab451cb42,13ab5eda-efdd-4a7d-bc81-973072b06957,1f334f6f-885e-4abe-9fc6-85705053e5a9,102.28,Cash,2024-08-13,Dine-in
d4578f3e-1f45-44a7-81a0-04ff4a878b68,23d1a39c-3f0c-48ab-b3c8-eca4c8385e80,f7d599ba-a566-4f80-ad1b-8c22de72cbd2,75c541aa-82bd-49a7-ae04-a7c6d0cbf6f9,133.87,Credit Card,2024-07-28,Dine-in
712c3111-cfd4-4e17-aa4c-c27736150513,0ce6d9d9-69cc-4458-864f-917dd73650c9,f7d599ba-a566-4f80-ad1b-8c22de72cbd2,1cb50628-f291-4218-8a9a-1c5f83ae4197,120.99,Credit Card,2024-04-04,Dine-in
91ac02e6-bc09-4dd1-9064-cb12fd16a1a6,8ba438df-f1f6-4a79-9a24-4d56a41ee2d6,eda831f0-dd7b-4bdb-bf18-d0b95e35e0e1,38a15803-a809-4cd5-a995-1966da60ea93,174.59,Mobile Payment,2024-08-11,Take-out
0f2bc558-b089-4856-8d59-3c6d167adc0d,64feadc3-4116-4e88-98fc-b5b671a59253,b2cf6b84-bf63-4667-878d-1a9cced679a7,ae401104-663a-46fa-81ab-3d1177ff984c,121.12,Cash,2024-06-05,Take-out
0f95940c-bed5-4f32-be5c-9823cfae2887,8de5a67b-b29d-4ce7-b2c5-ee670d3107f3,eda831f0-dd7b-4bdb-bf18-d0b95e35e0e1,ce8b6c17-5a29-4301-a93e-4361fa6d38ff,109.09,Credit Card,2024-07-02,Take-out
f7f95a3c-4508-4381-8d99-c771a7b33aba,60c4b419-a1df-4730-9102-0acc000c9299,f7d599ba-a566-4f80-ad1b-8c22de72cbd2,67052d4b-0e36-46fc-88b2-1b6f91725cfa,99.07,Mobile Payment,2024-03-07,Take-out
24fb0cf8-2eea-42ea-ae30-ceeafd7b859f,bcf84b10-7d93-48ae-83c0-b25a9a595117,f7d599ba-a566-4f80-ad1b-8c22de72cbd2,75c541aa-82bd-49a7-ae04-a7c6d0cbf6f9,120.54,Mobile Payment,2024-07-23,Dine-in
